Name,auction_value
Hunter Mann,-2317443222927769.0
Justin Wilson,-2313535729558159.5
Jaison Brete,-2299299331377144.5
Ronny Lopez,-2293675093295301.5
Daniel Keaney,-2281997064759734.0
Carlos Rey,-2281121863220781.0
Kendal Meza,-2273628123834770.5
Carmen Mlodzinski,-2272511452343030.5
Huascar Brazobán,-2266847602402820.0
Tanner Rainey,-2257804382550417.0
Noah Dean,-2244093521357529.5
Joseph Yabbour,-2235360692867620.5
Reny Artiles,-2232726397167604.0
Jose Varela,-2229305988883334.0
Pedro Avila,-2228905678911942.8
Sunayro Martina,-2214595951444418.5
Jorge Gonzalez,-2214031784377091.2
Jimmy Reyes,-2213883201524171.5
Koen Moreno,-2195850343842963.5
Cristian Hernandez,-2191141787805501.5
Jesus Rivero,-2170964298266776.5
Will Stevens,-2169251241675727.5
Diego Palmero,-2159313264477415.2
Christopher Hernandez,-2149610440409985.5
Nick Hernandez,-2148149413632792.0
Keuri Almonte,-2104153542025625.5
Deybi Salcedo,-2097748898180975.5
Angel Beltran,-2090771630312704.8
Bladimir Pichardo,-2090682431481500.5
Keegan Zinn,-2061043131624331.5
Casey Legumina,-2054945735391519.5
Luis Sánchez,-2041256192162960.0
Maikel Hernandez,-2040444164897500.0
Donal Montas,-2026765305311093.5
